STATE,no_of_customers
Texas,98
California,97
Florida,86
"New York",69
"District of Columbia",35
Ohio,33
Colorado,33
Alabama,30
Washington,28
Arizona,26
Pennsylvania,25
Illinois,25
Virginia,24
Tennessee,23
Missouri,23
Indiana,23
Connecticut,22
Louisiana,20
"North Carolina",20
Georgia,19
Nevada,17
Michigan,17
Minnesota,17
Oklahoma,16
Maryland,15
Massachusetts,14
Kansas,13
Iowa,11
Utah,10
Alaska,10
"West Virginia",10
"South Carolina",9
"New Jersey",9
Wisconsin,8
Kentucky,8
Nebraska,7
Oregon,7
Idaho,7
Delaware,6
Hawaii,6
Arkansas,6
"New Mexico",5
Montana,3
"New Hampshire",3
Mississippi,2
"North Dakota",2
Vermont,1
Wyoming,1
Maine,1
